IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
16.162.172.91,2095,80,false,HKG,Asia Pacific,Hong Kong,67,0.00
16.162.177.179,2086,80,false,HKG,Asia Pacific,Hong Kong,72,0.00
13.126.254.121,80,8080,false,BOM,Asia Pacific,Mumbai,79,0.00
13.55.237.163,2087,80,false,SYD,Oceania,Sydney,92,0.00
54.79.190.249,2082,80,false,SYD,Oceania,Sydney,92,0.00
13.237.94.188,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2086,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2052,80,false,SYD,Oceania,Sydney,93,0.00
54.79.129.232,2083,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2053,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2083,80,false,SYD,Oceania,Sydney,94,0.00
13.236.104.165,2095,80,false,SYD,Oceania,Sydney,94,0.00
54.79.190.249,2083,80,false,SYD,Oceania,Sydney,94,0.00
54.79.197.209,2086,80,false,SYD,Oceania,Sydney,95,0.00
13.211.0.227,2053,80,false,SYD,Oceania,Sydney,96,0.00
54.79.197.209,2095,80,false,SYD,Oceania,Sydney,96,0.00
96.0.144.161,80,80,false,SIN,Asia Pacific,Singapore,99,0.00
13.55.238.1,2083,80,false,SYD,Oceania,Sydney,100,0.00
96.0.147.193,80,80,false,SIN,Asia Pacific,Singapore,101,0.00
96.0.147.114,443,80,false,SIN,Asia Pacific,Singapore,103,0.00
96.0.147.114,80,80,false,SIN,Asia Pacific,Singapore,104,0.00
13.54.81.122,2052,80,false,SYD,Oceania,Sydney,105,0.00
13.237.94.188,2083,80,false,SYD,Oceania,Sydney,105,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,106,0.00
54.79.197.209,2082,80,false,SYD,Oceania,Sydney,110,0.00
16.162.177.179,2083,80,false,HKG,Asia Pacific,Hong Kong,115,0.00
13.237.94.188,2096,80,false,SYD,Oceania,Sydney,115,0.00
13.55.237.163,2095,80,false,SYD,Oceania,Sydney,116,0.00
54.79.190.249,2086,80,false,SYD,Oceania,Sydney,117,0.00
13.55.59.224,2082,80,false,SYD,Oceania,Sydney,118,0.00
13.237.94.188,2053,80,false,SYD,Oceania,Sydney,120,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,123,0.00
13.236.104.165,2052,80,false,SYD,Oceania,Sydney,124,0.00
16.162.172.91,2052,80,false,HKG,Asia Pacific,Hong Kong,127,0.00
54.79.129.232,2052,80,false,SYD,Oceania,Sydney,128,0.00
13.55.237.163,2096,80,false,SYD,Oceania,Sydney,129,0.00
13.55.238.1,2096,80,false,SYD,Oceania,Sydney,130,0.00
13.238.235.196,2087,80,false,SYD,Oceania,Sydney,131,0.00
108.136.205.136,443,80,false,CGK,Asia Pacific,Jakarta,131,0.00
13.55.238.1,2095,80,false,SYD,Oceania,Sydney,131,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,134,0.00
13.211.0.227,2052,80,false,SYD,Oceania,Sydney,137,0.00
13.211.0.227,2095,80,false,SYD,Oceania,Sydney,138,0.00
13.54.173.154,2095,80,false,SYD,Oceania,Sydney,138,0.00
13.236.104.165,2083,80,false,SYD,Oceania,Sydney,139,0.00
16.162.172.91,2096,80,false,HKG,Asia Pacific,Hong Kong,141,0.00
13.55.59.224,2083,80,false,SYD,Oceania,Sydney,141,0.00
13.54.173.154,2096,80,false,SYD,Oceania,Sydney,141,0.00
13.238.235.196,2082,80,false,SYD,Oceania,Sydney,142,0.00
13.237.94.188,2086,80,false,SYD,Oceania,Sydney,147,0.00
13.55.59.224,2052,80,false,SYD,Oceania,Sydney,148,0.00
16.162.177.179,2095,80,false,HKG,Asia Pacific,Hong Kong,149,0.00
13.237.94.188,2095,80,false,SYD,Oceania,Sydney,149,0.00
13.55.237.163,2082,80,false,SYD,Oceania,Sydney,151,0.00
13.54.173.154,2082,80,false,SYD,Oceania,Sydney,151,0.00
13.55.59.224,2087,80,false,SYD,Oceania,Sydney,154,0.00
13.238.235.196,2086,80,false,SYD,Oceania,Sydney,155,0.00
16.162.172.91,2082,80,false,HKG,Asia Pacific,Hong Kong,157,0.00
15.236.116.199,2083,80,false,CDG,Europe,Paris,160,0.00
13.36.63.124,2083,80,false,CDG,Europe,Paris,160,0.00
13.36.63.124,2096,80,false,CDG,Europe,Paris,161,0.00
15.236.116.199,2087,80,false,CDG,Europe,Paris,161,0.00
13.36.24.111,2087,80,false,CDG,Europe,Paris,162,0.00
13.211.0.227,2096,80,false,SYD,Oceania,Sydney,162,0.00
13.36.253.240,2053,80,false,CDG,Europe,Paris,162,0.00
15.236.107.86,2096,443,true,CDG,Europe,Paris,162,0.00
13.36.253.240,2083,80,false,CDG,Europe,Paris,164,0.00
13.237.94.188,2087,80,false,SYD,Oceania,Sydney,164,0.00
13.236.104.165,2082,80,false,SYD,Oceania,Sydney,164,0.00
13.36.24.111,2052,80,false,CDG,Europe,Paris,165,0.00
13.36.253.240,2087,80,false,CDG,Europe,Paris,165,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,165,0.00
13.36.63.124,2086,80,false,CDG,Europe,Paris,166,0.00
13.36.24.111,2083,80,false,CDG,Europe,Paris,167,0.00
13.55.59.224,2096,80,false,SYD,Oceania,Sydney,167,0.00
13.236.104.165,2086,80,false,SYD,Oceania,Sydney,167,0.00
13.36.63.124,2052,80,false,CDG,Europe,Paris,167,0.00
16.162.177.179,2053,80,false,HKG,Asia Pacific,Hong Kong,169,0.00
15.188.168.174,2095,80,false,CDG,Europe,Paris,170,0.00
13.36.253.240,2052,80,false,CDG,Europe,Paris,170,0.00
15.188.168.174,2082,80,false,CDG,Europe,Paris,170,0.00
13.36.253.240,2086,80,false,CDG,Europe,Paris,170,0.00
13.237.94.188,2082,80,false,SYD,Oceania,Sydney,171,0.00
15.188.168.174,2083,80,false,CDG,Europe,Paris,172,0.00
13.211.0.227,2083,80,false,SYD,Oceania,Sydney,173,0.00
15.236.116.199,2082,80,false,CDG,Europe,Paris,173,0.00
13.36.63.124,2082,80,false,CDG,Europe,Paris,174,0.00
